cell,episode,stem,options,answer
Q1xR1,boilWater-1,Which statement correctly describes what was observed right after the robot tried to put pot in sink (at 00:25)?,A:the pot is inside the sink | B:an option not listed here | C:the pot is inside the robot gripper | D:the egg is inside the sink | E:the sink is inside the pot,A
Q1xR1,boilWater-1,Which statement correctly describes what was observed right after the robot tried to toggle on faucet (at 00:28)?,A:the pot is inside the sink | B:the pot is inside the robot gripper | C:an option not listed here | D:the bowl is inside the sink | E:the sink is inside the pot,A
Q1xR2,boilWater-1,"After the robot performs 'pick up pot' (at 00:18), which statement is true?",A:the pot is inside the robot gripper | B:the pot is on top of the counter top | C:an option not listed here | D:nothing is inside the robot gripper | E:the tomato is inside the robot gripper,A
Q1xR2,boilWater-1,"After the robot performs 'put pot in sink' (at 00:25), which statement is true?",A:the pot is inside the sink | B:the pot is inside the robot gripper | C:an option not listed here | D:the sink is inside the pot | E:the egg is inside the sink,A
Q1xR3,boilWater-1,"After the robot performs 'pick up pot' (at 00:18), which statement is true?",A:nothing is inside the robot gripper | B:an option not listed here | C:the tomato is inside the robot gripper | D:the pot is on top of the counter top | E:the pot is inside the robot gripper,E
Q1xR3,boilWater-1,"After the robot performs 'put pot in sink' (at 00:25), which statement is true?",A:the pot is inside the robot gripper | B:an option not listed here | C:the egg is inside the sink | D:the pot is inside the sink | E:the sink is inside the pot,D
Q2xR1,boilWater-1,Which action caused the faucet to change from 'turned off' to 'turned on'?,A:toggle off the faucet | B:toggle on the second stove burner | C:pick up the faucet | D:an option not listed here | E:toggle on the faucet,E
Q2xR1,boilWater-1,Which action caused the faucet to change from 'turned on' to 'turned off'?,A:slice the fourth stove burner | B:an option not listed here | C:toggle off the faucet | D:pick up the pot | E:toggle off the fourth stove burner,C
Q2xR2,boilWater-1,Which action caused the faucet to change from 'turned off' to 'turned on'?,A:toggle off the faucet | B:pick up the faucet | C:toggle on the faucet | D:an option not listed here | E:toggle on the second stove burner,C
Q2xR2,boilWater-1,Which action caused the faucet to change from 'turned on' to 'turned off'?,A:toggle off the fourth stove burner | B:toggle off the faucet | C:pick up the pot | D:slice the fourth stove burner | E:an option not listed here,B
