episode,task,r_gt_error_type,r_error_type,Loc,Exp,r_gt_failure_reason,r_pred_failure_reason,r_gt_failure_step,r_pred_failure_step,rp_task_plan,rp_llm_plan,gt_plan,taxonomy_code,notes
boilWater-1,boilWater,execution,execution,False,False,Dropped Pot,"At 00:31, the robot prematurely turned off the faucet while water was still visibly running in the sink, causing a failure to fill the pot with the intended amount of water. This error occurred because the robot's auditory observation of running water likely triggered a safety or completion protocol that incorrectly interpreted the task as finished, ignoring the visual evidence that the pot had not yet been sufficiently filled.",00:36,['00:31'],"['(navigate_to_obj, Pot)', '(pick_up, Pot)', '(navigate_to_obj, Sink)', '(put_in, Pot, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Pot)', '(navigate_to_obj, StoveBurner-4)', '(put_on, Pot, StoveBurner-4)', '(toggle_on, StoveBurner-4)']","['(pick_up, Pot)', '(put_in, Pot, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pour, Pot, Sink)', '(pick_up, Pot)', '(put_on, Pot, StoveBurner-4)', '(toggle_on, StoveBurner-4)']",[],CTX-HIDDEN,
boilWater-2,boilWater,planning,execution,True,False,The robot cannot pick up the pot due to a bread occluding the pot.,"At 00:08, the robot failed to successfully pick up the pot because its gripper remained empty despite the action command, likely due to a misalignment between the gripper and the pot or a failure in the grasping mechanism. Consequently, the robot could not proceed with the task of boiling water as the pot was not secured.",00:08,['00:08'],"['(navigate_to_obj, Pot)', '(pick_up, Pot)', '(navigate_to_obj, Sink)', '(put_in, Pot, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Pot)', '(navigate_to_obj, StoveBurner-4)', '(put_on, Pot, StoveBurner-4)', '(toggle_on, StoveBurner-4)']","['(pick_up, Pot)', '(put_in, Pot, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pour, Pot, Sink)', '(pick_up, Pot)', '(put_on, Pot, StoveBurner-4)', '(toggle_off, StoveBurner-4)']",[],CTX-HIDDEN,"Blocking info only in L1 (non-action frames), absent from L2 subgoal evaluation. LLM was never shown this context."
boilWater-8,boilWater,execution,execution,False,False,The robot should use a pot instead of a bowl to boil water. The bowl cannot be put on the stove burner.,"At 00:39, the robot prematurely turned off the faucet while water was still running, causing the failure to boil water. This error occurred because the robot likely misinterpreted the auditory observation of running water as a signal that the water flow had stopped or that the task was complete, rather than recognizing that the faucet needed to remain on to heat the water in the bowl.",00:20,['00:39'],"['(navigate_to_obj, Bowl)', '(pick_up, Bowl)', '(navigate_to_obj, Sink)', '(put_in, Bowl, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Bowl)', '(navigate_to_obj, StoveBurner-4)', '(put_on, Bowl, StoveBurner-4)', '(toggle_on, StoveBurner-4)']","['(toggle_on, Faucet)', '(pour, Bowl, Sink)', '(pick_up, Bowl)', '(put_on, Bowl, StoveBurner-4)']",[],CTX-AFFORD,"Success condition uses generic term (""a container is filled with water, the container is on top of a stove burner that"") but simulator enforces specific object affordances. LLM had no context to infer the correct object type."
cookEgg-1,cookEgg,execution,execution,False,True,Dropped Egg,"At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface of the fridge. This action resulted in the egg being broken before it could be cooked.",00:35,['00:13'],"['(navigate_to_obj, Fridge)', '(open_obj, Fridge)', '(pick_up, Egg)', '(close_obj, Fridge)', '(navigate_to_obj, StoveBurner-1)', '(toggle_on, StoveBurner-1)', '(navigate_to_obj, Pan)', '(put_on, Egg, CounterTop)', '(pick_up, Pan)', '(navigate_to_obj, StoveBurner-1)', '(put_on, Pan, StoveBurner-1)', '(navigate_to_obj, Egg)', '(pick_up, Egg)', '(navigate_to_obj, Pan)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']","['(pick_up, Egg)', '(crack_obj, Egg)', '(put_in, Egg, Pan)']",[],RSN-DIAG,
cookEgg-10,cookEgg,planning,execution,False,False,The robot toggled on the fourth stove burner but put the pan on the first stove burner instead.,"At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface of the closed door. This action resulted in the egg being broken before it could be cooked.","['00:33', '00:34', '00:35', '00:36', '00:37', '00:38', '00:39', '00:40', '00:41', '00:42', '00:43', '00:44', '00:45', '00:46', '00:47', '00:48', '00:49', '00:50', '00:51', '00:52', '00:53', '00:54', '00:55', '00:56', '00:57', '00:58', '00:59', '01:00']",['00:13'],"['(navigate_to_obj, Fridge)', '(open_obj, Fridge)', '(pick_up, Egg)', '(close_obj, Fridge)', '(navigate_to_obj, StoveBurner-1)', '(toggle_on, StoveBurner-4)', '(navigate_to_obj, Pan)', '(put_on, Egg, CounterTop)', '(pick_up, Pan)', '(navigate_to_obj, StoveBurner-1)', '(put_on, Pan, StoveBurner-1)', '(navigate_to_obj, Egg)', '(pick_up, Egg)', '(navigate_to_obj, Pan)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']","['(pick_up, EggCracked)', '(put_in, EggCracked, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(put_in, EggCracked, Sink)', '(pick_up, EggCracked)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']",[],PER-AUDIO,
cookEgg-2,cookEgg,planning,execution,False,False,The robot failed to put the pan on the first stove burner because there was already a pot on it.,"At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface inside the refrigerator. This action resulted in the egg being broken before it could be cooked.",00:58,['00:13'],"['(navigate_to_obj, Fridge)', '(open_obj, Fridge)', '(pick_up, Egg)', '(close_obj, Fridge)', '(navigate_to_obj, StoveBurner-1)', '(toggle_on, StoveBurner-1)', '(navigate_to_obj, Pan)', '(put_on, Egg, CounterTop)', '(pick_up, Pan)', '(navigate_to_obj, StoveBurner-1)', '(put_on, Pan, StoveBurner-1)', '(navigate_to_obj, Egg)', '(pick_up, Egg)', '(navigate_to_obj, Pan)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']","['(pick_up, Egg)', '(crack_obj, Egg)', '(put_in, Egg, Pan)', '(put_on, Pan, StoveBurner-1)']",[],PER-AUDIO,"Action execution failed. Correctly identified and explained, but correction plan failed."
cookEgg-5,cookEgg,planning,execution,False,False,"The robot mis-identified book as pan, and picked up the book instead of the pan. The book cannot be put on the stove burner.","At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface inside the refrigerator. This action resulted in the egg being broken before it could be cooked.",01:01,['00:13'],"['(navigate_to_obj, Fridge)', '(open_obj, Fridge)', '(pick_up, Egg)', '(close_obj, Fridge)', '(navigate_to_obj, StoveBurner-1)', '(toggle_on, StoveBurner-1)', '(navigate_to_obj, Pan)', '(put_on, Egg, CounterTop)', '(pick_up, Pan)', '(navigate_to_obj, StoveBurner-1)', '(put_on, Pan, StoveBurner-1)', '(navigate_to_obj, Egg)', '(pick_up, Egg)', '(navigate_to_obj, Pan)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']","['(put_in, Book, GarbageCan)', '(pick_up, Egg)', '(crack_obj, Egg)', '(put_in, Egg, Pan)']",[],PER-AUDIO,
cookEgg-8,cookEgg,execution,execution,False,False,"The pan is dirty at the beginning of the task execution, and the robot never cleaned the pan.","At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface of the closed door. This action resulted in the egg being broken before it could be cooked.","['00:47', '00:48', '00:49', '00:50', '00:51', '00:52', '00:53', '00:54', '00:55', '00:56', '00:57', '00:58', '00:59', '01:00']",['00:13'],"['(navigate_to_obj, Fridge)', '(open_obj, Fridge)', '(pick_up, Egg)', '(close_obj, Fridge)', '(navigate_to_obj, StoveBurner-1)', '(toggle_on, StoveBurner-1)', '(navigate_to_obj, Pan)', '(put_on, Egg, CounterTop)', '(pick_up, Pan)', '(navigate_to_obj, StoveBurner-1)', '(put_on, Pan, StoveBurner-1)', '(navigate_to_obj, Egg)', '(pick_up, Egg)', '(navigate_to_obj, Pan)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']","['(pick_up, EggCracked)', '(put_in, EggCracked, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(put_in, EggCracked, Sink)', '(pick_up, EggCracked)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']",[],PER-AUDIO,Doesn't know the pan needs to be clean (not specified in the task goal)
cookEgg-9,cookEgg,execution,execution,False,False,The robot did not put down the egg in its gripper before trying to pick up the pan.,"At 00:13, the robot failed to successfully crack the egg because it closed the fridge door while still holding the egg, causing the egg to drop and crack on the hard surface of the closed door. This action resulted in the egg being broken before it could be cooked.","['00:33', '00:34', '00:35', '00:36', '00:37', '00:38', '00:39', '00:40', '00:41', '00:42', '00:43', '00:44']",['00:13'],"['(navigate_to_obj, Fridge)', '(open_obj, Fridge)', '(pick_up, Egg)', '(close_obj, Fridge)', '(navigate_to_obj, StoveBurner-1)', '(toggle_on, StoveBurner-1)', '(navigate_to_obj, Pan)', '(pick_up, Pan)', '(navigate_to_obj, StoveBurner-1)', '(put_on, Pan, StoveBurner-1)', '(navigate_to_obj, Egg)', '(pick_up, Egg)', '(navigate_to_obj, Pan)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']","['(pick_up, EggCracked)', '(put_in, EggCracked, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(put_in, EggCracked, Sink)', '(pick_up, EggCracked)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']",[],PER-AUDIO,
heatPotato-1,heatPotato,execution,execution,True,True,Dropped Plate,"At 00:44, the robot dropped the plate containing the potato onto a hard surface, as indicated by the auditory observation of an object cracking. Consequently, by 01:10, the robot failed to heat the potato because the plate was empty and the microwave remained closed and turned off.",00:44,"['00:44', '01:10']","['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_on, Plate, CounterTop)', '(open_obj, Microwave)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']","['(pick_up, Potato)', '(put_in, Potato, Plate)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)']",[],RSN-PLAN,
