task,episode,step_index,candidates_json,selected_label,selected_action,curr_state_after,done,confidence,entropy,option_probs,score_status
boilWater,boilWater-1,0,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""StoveBurner-3"", ""obj2"": null}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}]",A,"{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}","faucet (turned off), sink, pot (empty and clean). pot is inside robot gripper.",False,0.9999999597406649,4.76196173177605e-07,"{""A"": 0.9999999597406649, ""B"": 2.5109990546528254e-08, ""C"": 3.850741767739307e-09, ""D"": 2.0611535394578833e-09, ""E"": 9.237449290077012e-09}",available
boilWater,boilWater-1,1,"[{""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""CounterTop""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""CounterTop-1""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}]",A,"{""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}","faucet (turned off), sink, pot (empty and clean). pot is inside sink. pot is on the left of lettuce. nothing is inside robot gripper.",False,0.999999998176528,2.435095060960545e-08,"{""A"": 0.999999998176528, ""B"": 1.6052280522585232e-09, ""C"": 4.999999990882636e-13, ""D"": 4.999999990882636e-13, ""E"": 2.1724399311176336e-10}",available
boilWater,boilWater-1,2,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""Lettuce"", ""obj2"": null}, {""action"": ""open"", ""obj1"": ""Cabinet"", ""obj2"": null}]",B,"{""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}","sink, faucet (turned on), pot (filled with water and clean). pot is inside sink. pot is on the left of lettuce. nothing is inside robot gripper.",False,0.9999951574562984,4.003827296509453e-05,"{""A"": 4.785094574965621e-06, ""B"": 0.9999951574562984, ""C"": 1.6052188700232815e-09, ""D"": 5.1993187977217244e-08, ""E"": 3.850719888708632e-09}",available
boilWater,boilWater-1,3,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""Lettuce"", ""obj2"": null}, {""action"": ""put_on"", ""obj1"": ""Lettuce"", ""obj2"": ""CounterTop""}]",B,"{""action"": ""toggle_off"", ""obj1"": ""Faucet"", ""obj2"": null}","faucet (turned off), sink, pot (filled with water and clean). pot is inside sink. pot is on the left of lettuce. nothing is inside robot gripper.",False,0.9990889366656235,0.0045289530557737455,"{""A"": 0.0009110513907844233, ""B"": 0.9990889366656235, ""C"": 4.939944563695129e-09, ""D"": 4.3594857764005625e-09, ""E"": 2.644161783968075e-09}",available
boilWater,boilWater-1,4,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""Lettuce"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""DishSponge"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""Bottle"", ""obj2"": null}]",A,"{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}","faucet (turned off), sink, pot (filled with water and clean). pot is inside robot gripper.",False,0.9999999983543413,2.2719932701304316e-08,"{""A"": 0.9999999983543413, ""B"": 6.691586080280714e-10, ""C"": 9.999999983543423e-13, ""D"": 2.1724399315039223e-10, ""E"": 7.5825604154336e-10}",available
boilWater,boilWater-1,5,"[{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-3""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""CounterTop""}]",A,"{""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4""}","fourth stove burner (turned on), pot (filled with water and clean), third stove burner (turned off), first stove burner (turned off), second stove burner (turned off). pot is on top of fourth stove burner. nothing is inside robot gripper.",False,0.9999991485474353,7.987769962589148e-06,"{""A"": 0.9999991485474353, ""B"": 8.31527973810858e-07, ""C"": 1.7257828978243902e-08, ""D"": 1.2501529381226525e-09, ""E"": 1.4166088679306316e-09}",available
boilWater,boilWater-1,6,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}]",E,null,,True,0.9999999825452478,2.096711901685091e-07,"{""A"": 1.250152844565634e-09, ""B"": 9.999999825452487e-13, ""C"": 1.5229979478877106e-08, ""D"": 9.7362001430666e-10, ""E"": 0.9999999825452478}",available
boilWater,boilWater-10,0,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_off"", ""obj1"": ""StoveBurner-4"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}]",A,"{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}","second stove burner (turned off), fourth stove burner (turned on), third stove burner (turned off), first stove burner (turned off), pot (empty and clean). pot is inside robot gripper.",False,0.9998962360625062,0.0007004793427725195,"{""A"": 0.9998962360625062, ""B"": 6.82490129437136e-08, ""C"": 4.539521663077463e-05, ""D"": 5.828861194996068e-05, ""E"": 1.1859900115829585e-08}",available
boilWater,boilWater-10,1,"[{""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink""}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""SinkBasin""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""CounterTop""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""CounterTop-1""}]",B,"{""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""SinkBasin""}","faucet (turned off), sink, pot (empty and clean). pot is inside sink. pot is on the right of soap bottle. nothing is inside robot gripper.",False,0.9984987765570325,0.006996715067432832,"{""A"": 0.001501181963782492, ""B"": 0.9984987765570325, ""C"": 2.5072280035410964e-08, ""D"": 9.223576368320894e-09, ""E"": 7.1833284983672185e-09}",available
boilWater,boilWater-10,2,"[{""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}, {""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""Faucet-1"", ""obj2"": null}, {""action"": ""toggle_on"", ""obj1"": ""Faucet-2"", ""obj2"": null}]",A,"{""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null}","sink, faucet (turned on), pot (filled with water and clean). pot is inside sink. pot is on the right of soap bottle. nothing is inside robot gripper.",False,0.9999894101797763,8.336919955382323e-05,"{""A"": 0.9999894101797763, ""B"": 1.1253389740354116e-07, ""C"": 1.0129988279039057e-05, ""D"": 3.058991401257347e-07, ""E"": 4.139890728965915e-08}",available
