episode,task,c_success,taxonomy_code,category,notes
boilWater-2,boilWater,False,CTX-HIDDEN,Context / Temporal,
boilWater-1,boilWater,True,SUCCESS,Success,
boilWater-10,boilWater,True,SUCCESS,Success,
boilWater-4,boilWater,True,SUCCESS,Success,
boilWater-5,boilWater,False,RSN-PLAN,LLM Reasoning,
boilWater-3,boilWater,True,SUCCESS,Success,
boilWater-7,boilWater,True,SUCCESS,Success,
boilWater-6,boilWater,False,RSN-PLAN,LLM Reasoning,
boilWater-8,boilWater,False,CTX-AFFORD,Context / Temporal,
boilWater-9,boilWater,True,SUCCESS,Success,
cookEgg-1,cookEgg,False,CTX-AFFORD,Context / Temporal,
cookEgg-10,cookEgg,True,SUCCESS,Success,
cookEgg-2,cookEgg,False,CTX-AFFORD,Context / Temporal,
cookEgg-3,cookEgg,True,SUCCESS,Success,
cookEgg-4,cookEgg,True,SUCCESS,Success,
cookEgg-6,cookEgg,True,SUCCESS,Success,
cookEgg-5,cookEgg,True,SUCCESS,Success,
cookEgg-7,cookEgg,True,SUCCESS,Success,
cookEgg-9,cookEgg,True,SUCCESS,Success,
cookEgg-8,cookEgg,False,CTX-AFFORD,Context / Temporal,
heatPotato-1,heatPotato,False,RSN-PLAN,LLM Reasoning,
heatPotato-10,heatPotato,True,SUCCESS,Success,
heatPotato-2,heatPotato,False,RSN-PLAN,LLM Reasoning,
heatPotato-5,heatPotato,True,SUCCESS,Success,
heatPotato-4,heatPotato,False,CTX-AFFORD,Context / Temporal,
heatPotato-3,heatPotato,True,SUCCESS,Success,
heatPotato-6,heatPotato,True,SUCCESS,Success,
heatPotato-7,heatPotato,False,CTX-AFFORD,Context / Temporal,
heatPotato-8,heatPotato,True,SUCCESS,Success,
heatPotato-9,heatPotato,True,SUCCESS,Success,
makeCoffee-1,makeCoffee,False,EXEC-SIM,Eval / Simulator,
makeCoffee-10,makeCoffee,True,SUCCESS,Success,
makeCoffee-2,makeCoffee,False,EXEC-SIM,Eval / Simulator,
makeCoffee-4,makeCoffee,False,EXEC-SIM,Eval / Simulator,
makeCoffee-3,makeCoffee,True,SUCCESS,Success,
makeCoffee-5,makeCoffee,True,SUCCESS,Success,
makeCoffee-6,makeCoffee,False,RSN-PLAN,LLM Reasoning,
makeCoffee-8,makeCoffee,True,SUCCESS,Success,
makeCoffee-7,makeCoffee,True,SUCCESS,Success,
makeCoffee-9,makeCoffee,False,EXEC-SIM,Eval / Simulator,
makeSalad-10,makeSalad,False,CTX-AFFORD,Context / Temporal,
makeSalad-1,makeSalad,False,CTX-AFFORD,Context / Temporal,
makeSalad-2,makeSalad,True,SUCCESS,Success,
makeSalad-4,makeSalad,True,SUCCESS,Success,
makeSalad-5,makeSalad,False,PER-SPATIAL,Perception,
