model,qid,category,n_options,answer,predicted,max_prob,norm_entropy,confidence,correct,score_status,solvability,difficulty
qwen3.5:9b,78,business,10,E,E,0.9958302323560158,0.014914697322893121,0.9850853026771069,1,available,5,easy
qwen3.5:9b,79,business,10,F,F,0.9469837546239885,0.13252739220720258,0.8674726077927974,1,available,4,easy
qwen3.5:9b,87,business,10,A,D,0.22690836669636522,0.9347354198616975,0.0652645801383025,0,available,2,medium
qwen3.5:9b,89,business,10,D,A,0.14806503460884565,0.9779566361437736,0.022043363856226406,0,available,0,hard
qwen3.5:9b,94,business,10,J,G,0.20968981298472136,0.9335627374343428,0.06643726256565718,0,available,0,hard
qwen3.5:9b,113,business,10,A,C,0.24830672900665857,0.9359858462896228,0.06401415371037722,0,available,5,easy
qwen3.5:9b,114,business,10,B,H,0.4771386528509313,0.7642017666691346,0.23579823333086536,0,available,1,hard
qwen3.5:9b,115,business,10,J,E,0.6952122900080541,0.536351382250094,0.46364861774990596,0,available,0,hard
qwen3.5:9b,118,business,10,G,A,0.3035185715703341,0.8619896648563131,0.13801033514368688,0,available,1,hard
qwen3.5:9b,134,business,7,E,E,0.7751305461958181,0.4655927471247624,0.5344072528752376,1,available,3,medium
qwen3.5:9b,160,business,10,J,A,0.2911291878406034,0.8722690752329197,0.12773092476708026,0,available,0,hard
qwen3.5:9b,161,business,10,C,C,0.8941628040722864,0.24384239686493764,0.7561576031350623,1,available,4,easy
qwen3.5:9b,168,business,10,D,C,0.17038045211255262,0.9712410421160508,0.02875895788394922,0,available,0,hard
qwen3.5:9b,183,business,10,A,A,0.7771578990653935,0.3092309253269574,0.6907690746730426,1,available,4,easy
qwen3.5:9b,186,business,10,D,C,0.4748079871400775,0.5690384599433131,0.43096154005668685,0,available,0,hard
qwen3.5:9b,212,business,10,J,C,0.3215719768478389,0.8895844097605492,0.1104155902394508,0,available,0,hard
qwen3.5:9b,213,business,10,H,E,0.537919105076227,0.5230810563222458,0.4769189436777542,0,available,2,medium
qwen3.5:9b,216,business,10,J,J,0.3945052179937444,0.7780904969611417,0.22190950303885826,1,available,2,medium
qwen3.5:9b,222,business,10,H,A,0.5221369369640502,0.5829865974059357,0.4170134025940643,0,available,2,medium
qwen3.5:9b,231,business,10,J,E,0.3623842907414653,0.8061505567005558,0.1938494432994442,0,available,0,hard
qwen3.5:9b,241,business,10,F,D,0.27224122305211257,0.903878896025323,0.09612110397467699,0,available,0,hard
qwen3.5:9b,248,business,10,I,C,0.3915316177293485,0.8328101969694122,0.16718980303058784,0,available,0,hard
qwen3.5:9b,263,business,10,D,C,0.4512390082113166,0.7866948371246126,0.21330516287538737,0,available,0,hard
qwen3.5:9b,267,business,10,I,I,0.989391763970292,0.030940784700352563,0.9690592152996474,1,available,2,medium
qwen3.5:9b,271,business,10,C,E,0.2733212764522666,0.9086442810604966,0.09135571893950345,0,available,2,medium
qwen3.5:9b,274,business,10,E,E,0.28846559915767683,0.7517147970715491,0.2482852029284509,1,available,0,hard
qwen3.5:9b,277,business,10,D,C,0.23080782660945207,0.9006712438175147,0.09932875618248527,0,available,0,hard
qwen3.5:9b,282,business,10,E,E,0.24463366413642545,0.8080856625766512,0.19191433742334885,1,available,0,hard
qwen3.5:9b,291,business,10,C,C,0.9979174899079474,0.008301489638985249,0.9916985103610148,1,available,5,easy
qwen3.5:9b,303,business,10,J,E,0.3815100217412039,0.7366528364830343,0.26334716351696574,0,available,0,hard
qwen3.5:9b,307,business,10,I,B,0.5879453288385789,0.3947877794273685,0.6052122205726316,0,available,0,hard
qwen3.5:9b,317,business,10,G,C,0.20840382869235574,0.9060689902197583,0.09393100978024171,0,available,1,hard
qwen3.5:9b,319,business,10,C,C,0.19915905262896524,0.9374675862293295,0.06253241377067054,1,available,0,hard
qwen3.5:9b,320,business,10,E,E,0.20690333246331363,0.9420585839152228,0.05794141608477721,1,available,0,hard
qwen3.5:9b,322,business,10,F,C,0.18060838120295444,0.950019014074037,0.049980985925963006,0,available,0,hard
qwen3.5:9b,324,business,10,F,B,0.23361332851864872,0.8978721810002042,0.10212781899979584,0,available,0,hard
qwen3.5:9b,328,business,10,E,E,0.541954447848713,0.6830228346202137,0.31697716537978626,1,available,0,hard
qwen3.5:9b,331,business,10,G,C,0.23223529690746042,0.9164449445678399,0.08355505543216013,0,available,0,hard
qwen3.5:9b,339,business,10,E,C,0.18236881768360422,0.9719775508568009,0.02802244914319907,0,available,0,hard
qwen3.5:9b,344,business,10,I,B,0.3214111277514388,0.8032888259677531,0.19671117403224692,0,available,1,hard
qwen3.5:9b,345,business,10,H,D,0.42255571001695386,0.7664785521653854,0.2335214478346146,0,available,1,hard
qwen3.5:9b,372,business,10,B,I,0.14467158288432128,0.9865552597507689,0.013444740249231146,0,available,0,hard
qwen3.5:9b,373,business,10,D,E,0.30043740770488175,0.8709363923178016,0.12906360768219838,0,available,0,hard
qwen3.5:9b,377,business,10,E,A,0.35426334861785935,0.798594866702234,0.201405133297766,0,available,0,hard
qwen3.5:9b,385,business,10,F,C,0.18244240087803115,0.9657711611140292,0.034228838885970836,0,available,2,medium
qwen3.5:9b,388,business,10,D,D,0.4180942315242329,0.8125937066910727,0.18740629330892733,1,available,4,easy
qwen3.5:9b,401,business,10,I,C,0.31035903698041256,0.920864268965381,0.07913573103461902,0,available,2,medium
qwen3.5:9b,410,business,10,D,J,0.25956928001422347,0.9078123246693054,0.09218767533069461,0,available,0,hard
qwen3.5:9b,412,business,10,A,D,0.3844493734601626,0.833917024679056,0.16608297532094396,0,available,2,medium
qwen3.5:9b,417,business,10,F,F,0.5153901932319641,0.7085390043239524,0.29146099567604755,1,available,2,medium
qwen3.5:9b,459,business,10,F,F,0.32630161421855325,0.8703472352925629,0.12965276470743714,1,available,0,hard
qwen3.5:9b,463,business,10,I,C,0.19308307859372278,0.962288697706658,0.037711302293341964,0,available,0,hard
qwen3.5:9b,484,business,10,C,C,0.2722238933370959,0.8725308957807417,0.12746910421925828,1,available,1,hard
qwen3.5:9b,488,business,10,D,D,0.6742072052200029,0.5038616466152065,0.4961383533847935,1,available,0,hard
qwen3.5:9b,495,business,10,B,C,0.9499865477934405,0.12873191297318845,0.8712680870268116,0,available,1,hard
qwen3.5:9b,502,business,10,C,C,0.9291560831595752,0.171543951830197,0.828456048169803,1,available,2,medium
qwen3.5:9b,504,business,9,G,G,0.8656568124061251,0.24256869802539857,0.7574313019746014,1,available,5,easy
qwen3.5:9b,506,business,10,I,I,0.9967197695257873,0.012205532386796135,0.9877944676132039,1,available,0,hard
qwen3.5:9b,510,business,10,J,G,0.33318097234491556,0.8277431702202348,0.1722568297797652,0,available,0,hard
qwen3.5:9b,512,business,10,B,B,0.4953278016347965,0.7253155987099321,0.2746844012900679,1,available,4,easy
qwen3.5:9b,518,business,10,C,C,0.1715084610879975,0.9614078138083023,0.038592186191697686,1,available,0,hard
qwen3.5:9b,558,business,10,B,D,0.24745336682384705,0.9220672043494705,0.07793279565052946,0,available,0,hard
qwen3.5:9b,568,business,10,C,A,0.882531139868868,0.19283166867410595,0.807168331325894,0,available,0,hard
qwen3.5:9b,577,business,10,G,E,0.30798132345547635,0.8869042116754625,0.11309578832453748,0,available,0,hard
qwen3.5:9b,589,business,10,F,F,0.6675914854739137,0.5119164166252169,0.4880835833747831,1,available,0,hard
qwen3.5:9b,590,business,10,I,A,0.6359549764886467,0.5309257954156119,0.4690742045843881,0,available,0,hard
qwen3.5:9b,593,business,10,C,C,0.56639175930112,0.552352992873961,0.447647007126039,1,available,0,hard
qwen3.5:9b,600,business,10,F,E,0.24453698004801688,0.8818645261777885,0.11813547382221146,0,available,0,hard
qwen3.5:9b,601,business,10,E,E,0.504918197440098,0.5152436815845516,0.4847563184154484,1,available,1,hard
qwen3.5:9b,622,business,10,D,D,0.9823260092068903,0.04895691975392982,0.9510430802460702,1,available,4,easy
qwen3.5:9b,632,business,8,H,E,0.45923551179934924,0.7130216546232961,0.28697834537670386,0,available,1,hard
qwen3.5:9b,635,business,10,F,A,0.5792462435205677,0.4011557968547691,0.5988442031452309,0,available,2,medium
qwen3.5:9b,638,business,10,G,G,0.43487851184178383,0.7051438400841894,0.2948561599158106,1,available,0,hard
qwen3.5:9b,645,business,10,D,F,0.19067039185992354,0.9698287054146751,0.03017129458532486,0,available,0,hard
qwen3.5:9b,647,business,10,B,C,0.46063978696932306,0.76735334513965,0.23264665486034997,0,available,2,medium
qwen3.5:9b,653,business,10,E,E,0.1940575960846003,0.9537696157864075,0.04623038421359249,1,available,1,hard
qwen3.5:9b,657,business,10,E,C,0.3663524864458348,0.7697139151134097,0.2302860848865903,0,available,0,hard
qwen3.5:9b,669,business,10,I,C,0.19043546633436448,0.8958979537126934,0.10410204628730657,0,available,0,hard
qwen3.5:9b,671,business,10,D,H,0.22950660868037873,0.9383217313441723,0.061678268655827706,0,available,1,hard
qwen3.5:9b,673,business,10,H,E,0.37913929325487633,0.8501465463903488,0.1498534536096512,0,available,0,hard
qwen3.5:9b,676,business,10,A,G,0.24338279356458975,0.9174238676748487,0.08257613232515126,0,available,2,medium
qwen3.5:9b,695,business,10,A,A,0.847909062342309,0.2952806631903803,0.7047193368096196,1,available,4,easy
qwen3.5:9b,696,business,10,E,C,0.25754601072962185,0.9217950644637071,0.07820493553629293,0,available,0,hard
qwen3.5:9b,707,business,10,E,C,0.1774399783982975,0.9565663024953274,0.04343369750467263,0,available,0,hard
qwen3.5:9b,712,business,10,E,E,0.35433928896085126,0.6547127382525452,0.34528726174745483,1,available,0,hard
qwen3.5:9b,737,business,10,F,C,0.30739555488821596,0.8626708851772368,0.13732911482276322,0,available,0,hard
qwen3.5:9b,742,business,10,C,C,0.6032464216372518,0.6078982588275117,0.3921017411724883,1,available,4,easy
qwen3.5:9b,751,business,4,D,B,0.37152290460364085,0.9333689640659588,0.06663103593404118,0,available,0,hard
qwen3.5:9b,756,business,10,C,C,0.9379598578695426,0.132168051992455,0.867831948007545,1,available,4,easy
qwen3.5:9b,760,business,10,D,B,0.9908571184604729,0.02916726700553342,0.9708327329944666,0,available,0,hard
qwen3.5:9b,765,business,10,F,C,0.1819846195979425,0.9747522216551493,0.025247778344850702,0,available,0,hard
qwen3.5:9b,773,business,10,J,C,0.4461472889154264,0.8050316217493154,0.19496837825068458,0,available,0,hard
qwen3.5:9b,789,business,10,F,A,0.2351800173096482,0.9422900406034396,0.05770995939656043,0,available,0,hard
qwen3.5:9b,808,business,10,G,I,0.6026041170784925,0.5741719901671567,0.4258280098328433,0,available,2,medium
qwen3.5:9b,812,business,10,I,F,0.2880960299210441,0.8438795348504825,0.1561204651495175,0,available,0,hard
qwen3.5:9b,814,business,10,I,B,0.4213891582480093,0.6726919826271798,0.3273080173728202,0,available,0,hard
qwen3.5:9b,818,business,10,E,B,0.22649145622106387,0.9287029036750475,0.07129709632495251,0,available,0,hard
qwen3.5:9b,830,business,10,H,H,0.8224132688858132,0.3046359957860006,0.6953640042139995,1,available,4,easy
qwen3.5:9b,834,business,10,I,G,0.2274729977895651,0.8814233553450588,0.11857664465494122,0,available,1,hard
qwen3.5:9b,840,business,10,B,A,0.18172856902547807,0.9760051761280353,0.02399482387196472,0,available,1,hard
qwen3.5:9b,849,business,10,B,B,0.30125039434605877,0.8487867617431725,0.15121323825682753,1,available,3,medium
qwen3.5:9b,854,business,10,A,A,0.22704701111052547,0.904904613031193,0.09509538696880704,1,available,4,easy
qwen3.5:9b,871,law,10,C,C,0.529517230606455,0.6166544810134307,0.3833455189865693,1,available,0,hard
qwen3.5:9b,876,law,10,I,I,0.9531450708713775,0.11353874140328414,0.8864612585967159,1,available,0,hard
qwen3.5:9b,882,law,9,G,A,0.3674248180617958,0.7204420797641153,0.27955792023588466,0,available,0,hard
qwen3.5:9b,883,law,9,B,G,0.7554716208471287,0.3794729938198531,0.6205270061801469,0,available,2,medium
qwen3.5:9b,895,law,10,H,J,0.3518005206899046,0.7226082579405583,0.2773917420594417,0,available,0,hard
qwen3.5:9b,898,law,10,C,C,0.5936671956830489,0.5432313039189303,0.45676869608106974,1,available,0,hard
qwen3.5:9b,900,law,4,A,A,0.9126307928808328,0.27209439085304515,0.7279056091469549,1,available,3,medium
qwen3.5:9b,915,law,10,G,I,0.49722232874222927,0.6046056831254575,0.3953943168745425,0,available,0,hard
qwen3.5:9b,916,law,9,H,H,0.970113947669004,0.08733773996969582,0.9126622600303042,1,available,0,hard
