task,episode,step,subgoal,evaluation_active,predicted_success,oracle_success,predicted_label,confidence,entropy,score_status
boilWater,boilWater-1,00:18,pick up pot,True,True,True,A,0.9999869928752253,0.0002298752288747113,available
boilWater,boilWater-1,00:25,put pot inside sink,True,True,True,A,0.9999997617630155,5.5851788203125485e-06,available
boilWater,boilWater-1,00:28,toggle on faucet,True,True,True,A,0.9999832985809044,0.00028914085924474514,available
boilWater,boilWater-1,00:31,toggle off faucet,True,True,True,A,0.9999724643101547,0.0004568449854295502,available
boilWater,boilWater-1,00:34,pick up pot,True,True,True,A,0.9998415637531547,0.002228626148483538,available
boilWater,boilWater-1,00:44,put pot on fourth stove burner,True,False,False,B,0.9999938558271397,0.00011523421005071947,available
boilWater,boilWater-1,00:47,toggle on fourth stove burner,False,True,,A,0.9999997897565931,4.96681778329076e-06,available
boilWater,boilWater-10,00:18,pick up pot,True,True,True,A,0.9999869928752253,0.0002298752288747113,available
boilWater,boilWater-10,00:25,toggle on faucet,True,True,False,A,0.9999724643068726,0.00045684503515017855,available
boilWater,boilWater-10,00:28,toggle off faucet,False,True,,A,0.9999038976006969,0.001421132848569472,available
boilWater,boilWater-10,00:31,put pot inside sink,False,True,,A,0.9999997617630155,5.5851788203125485e-06,available
boilWater,boilWater-10,00:34,pick up pot,False,True,,A,0.9999546021442518,0.0007204493803105356,available
boilWater,boilWater-10,00:53,put pot on fourth stove burner,False,True,,A,0.9999996533672291,7.938855270846538e-06,available
boilWater,boilWater-10,00:56,toggle on fourth stove burner,False,True,,A,0.9999994956527948,1.127809826024321e-05,available
boilWater,boilWater-2,00:18,pick up pot,True,True,True,A,0.9999869928752253,0.0002298752288747113,available
boilWater,boilWater-2,00:25,put pot inside sink,True,True,True,A,0.9999997617630155,5.5851788203125485e-06,available
boilWater,boilWater-2,00:28,toggle on faucet,True,True,True,A,0.9999832985809044,0.00028914085924474514,available
boilWater,boilWater-2,00:31,toggle off faucet,True,True,True,A,0.9999724643101547,0.0004568449854295502,available
boilWater,boilWater-2,00:34,pick up pot,True,True,True,A,0.9998415637531547,0.002228626148483538,available
boilWater,boilWater-2,00:53,put pot on fourth stove burner,True,True,True,A,0.9999980052698924,4.064874699476472e-05,available
boilWater,boilWater-2,00:56,toggle on fourth stove burner,True,True,True,A,0.9999987901339381,2.5527466612479186e-05,available
boilWater,boilWater-3,00:18,pick up pot,True,True,True,A,0.9999869928752253,0.0002298752288747113,available
boilWater,boilWater-3,00:25,toggle on faucet,True,True,True,A,0.9999724643068726,0.00045684503515017855,available
boilWater,boilWater-3,00:28,put pot inside sink,True,True,True,A,0.9999987901339381,2.5527466612479186e-05,available
boilWater,boilWater-3,00:31,toggle off faucet,True,True,True,A,0.9999724643101547,0.0004568449854295502,available
boilWater,boilWater-3,00:34,pick up pot,True,True,True,A,0.9998415637531547,0.002228626148483538,available
boilWater,boilWater-3,00:53,put pot on fourth stove burner,True,True,True,A,0.9999980052698924,4.064874699476472e-05,available
boilWater,boilWater-3,00:56,toggle on fourth stove burner,True,True,True,A,0.9999987901339381,2.5527466612479186e-05,available
boilWater,boilWater-4,00:18,pick up pot,True,True,True,A,0.9999869928752253,0.0002298752288747113,available
boilWater,boilWater-4,00:25,put pot inside sink,True,True,True,A,0.9999997617630155,5.5851788203125485e-06,available
boilWater,boilWater-4,00:26,toggle on faucet,True,False,False,B,0.9999852610186964,0.0002578244023919092,available
boilWater,boilWater-4,00:29,toggle off faucet,False,True,,A,0.9999885212296566,0.0002049346093407361,available
boilWater,boilWater-4,00:32,pick up pot,False,True,,A,0.9999546021442518,0.0007204493803105356,available
boilWater,boilWater-4,00:51,put pot on fourth stove burner,False,True,,A,0.9999996533672291,7.938855270846538e-06,available
boilWater,boilWater-4,00:54,toggle on fourth stove burner,False,True,,A,0.9999994956527948,1.127809826024321e-05,available
boilWater,boilWater-5,00:24,pick up pot,True,False,True,B,0.9999962733608835,7.258146119082659e-05,available
boilWater,boilWater-5,00:39,put pot in sink,True,False,True,B,0.9999251537850291,0.0011337968225144793,available
boilWater,boilWater-5,00:42,toggle on faucet,True,True,True,A,0.9999852610222102,0.00025782434599506466,available
boilWater,boilWater-5,00:45,toggle off faucet,True,True,True,A,0.9999869928752253,0.0002298752288747113,available
boilWater,boilWater-5,00:48,pick up pot,True,False,True,B,0.9999417087093173,0.0009040403919877627,available
boilWater,boilWater-5,01:02,put pot on fourth stove burner,True,False,True,B,0.9999970976877992,5.7573337778860017e-05,available
boilWater,boilWater-5,01:05,toggle on fourth stove burner,True,True,True,A,0.9999996072136301,8.925067298424608e-06,available
boilWater,boilWater-6,00:18,pick up pot,True,True,True,A,0.9999869928752253,0.0002298752288747113,available
boilWater,boilWater-6,00:25,put pot in sink,True,True,False,A,0.9999997300421382,6.280153187162631e-06,available
boilWater,boilWater-6,00:28,pick up pot,False,True,,A,0.9999724643101547,0.0004568449854295502,available
boilWater,boilWater-6,00:42,put pot on fourth stove burner,False,True,,A,0.9999999317439576,1.723271425266314e-06,available
boilWater,boilWater-6,00:45,toggle on fourth stove burner,False,True,,A,0.9999980052698924,4.064874699476472e-05,available
boilWater,boilWater-7,00:18,pick up pot,True,True,True,A,0.9999869928752253,0.0002298752288747113,available
boilWater,boilWater-7,00:25,put pot in sink,True,True,True,A,0.999998629043345,2.867915148081539e-05,available
boilWater,boilWater-7,00:28,toggle on faucet,True,True,True,A,0.9999546021388404,0.0007204494583810701,available
boilWater,boilWater-7,00:31,toggle off faucet,True,True,False,A,0.9999832985848862,0.0002891407960567083,available
boilWater,boilWater-7,00:41,put pot on fourth stove burner,False,False,,B,0.9999832985848862,0.0002891407960567083,available
