model,qid,task,episode,rtype,regime,cell,answer,predicted,max_prob,norm_entropy,confidence,correct,score_status,solvability,difficulty
qwen3.5:9b,boilWater-1|T2|C1|4,boilWater,boilWater-1,T2,C1,T2xC1,B,A,0.821969926716306,0.3570735217289699,0.6429264782710301,0,available,0,hard
qwen3.5:9b,boilWater-1|T3|C1|0,boilWater,boilWater-1,T3,C1,T3xC1,C,B,0.3155881031008745,0.8794348331914573,0.12056516680854268,0,available,0,hard
qwen3.5:9b,boilWater-1|T3|C2|0,boilWater,boilWater-1,T3,C2,T3xC2,A,E,0.6582218510670133,0.5931446593347083,0.4068553406652917,0,available,0,hard
qwen3.5:9b,boilWater-1|T4|C2|5,boilWater,boilWater-1,T4,C2,T4xC2,E,E,0.419852577208775,0.8019035429810443,0.19809645701895573,1,available,1,hard
qwen3.5:9b,boilWater-1|T4|C3|4,boilWater,boilWater-1,T4,C3,T4xC3,D,D,0.9259505869219266,0.2032630912670078,0.7967369087329922,1,available,0,hard
qwen3.5:9b,boilWater-1|T4|C3|5,boilWater,boilWater-1,T4,C3,T4xC3,B,C,0.8043563434013415,0.4453659524677882,0.5546340475322118,0,available,1,hard
qwen3.5:9b,boilWater-10|T2|C1|1,boilWater,boilWater-10,T2,C1,T2xC1,C,D,0.5994428060160024,0.6469740722631954,0.35302592773680463,0,available,1,hard
qwen3.5:9b,boilWater-10|T3|C1|0,boilWater,boilWater-10,T3,C1,T3xC1,A,D,0.7989753348405719,0.4326932572982855,0.5673067427017144,0,available,2,medium
qwen3.5:9b,boilWater-10|T3|C2|0,boilWater,boilWater-10,T3,C2,T3xC2,E,B,0.7944273463272712,0.45734543097506536,0.5426545690249347,0,available,2,medium
qwen3.5:9b,boilWater-10|T4|C2|3,boilWater,boilWater-10,T4,C2,T4xC2,E,E,0.8482901893015122,0.3346684205824842,0.6653315794175159,1,available,1,hard
qwen3.5:9b,boilWater-10|T4|C2|4,boilWater,boilWater-10,T4,C2,T4xC2,D,B,0.6557715855646252,0.5910244569087343,0.4089755430912657,0,available,3,medium
qwen3.5:9b,boilWater-10|T4|C2|5,boilWater,boilWater-10,T4,C2,T4xC2,D,D,0.4869679790392878,0.7377639827263954,0.26223601727360457,1,available,2,medium
qwen3.5:9b,boilWater-10|T4|C3|3,boilWater,boilWater-10,T4,C3,T4xC3,E,E,0.658113096855911,0.6499287814622645,0.3500712185377355,1,available,1,hard
qwen3.5:9b,boilWater-10|T4|C3|4,boilWater,boilWater-10,T4,C3,T4xC3,A,C,0.6872877783494974,0.5794998560825243,0.4205001439174757,0,available,2,medium
qwen3.5:9b,boilWater-10|T4|C3|5,boilWater,boilWater-10,T4,C3,T4xC3,C,C,0.850308685283683,0.3574353530931225,0.6425646469068775,1,available,2,medium
qwen3.5:9b,boilWater-2|T2|C1|0,boilWater,boilWater-2,T2,C1,T2xC1,D,B,0.4262476680040317,0.9100920698318729,0.08990793016812715,0,available,1,hard
qwen3.5:9b,boilWater-2|T3|C1|0,boilWater,boilWater-2,T3,C1,T3xC1,C,B,0.511356100688562,0.7709162093549017,0.22908379064509832,0,available,2,medium
qwen3.5:9b,boilWater-2|T3|C2|0,boilWater,boilWater-2,T3,C2,T3xC2,D,E,0.9007635288970955,0.27337170272089156,0.7266282972791085,0,available,1,hard
qwen3.5:9b,boilWater-2|T4|C2|3,boilWater,boilWater-2,T4,C2,T4xC2,A,E,0.4031725650826912,0.866159592408324,0.13384040759167604,0,available,2,medium
qwen3.5:9b,boilWater-2|T4|C2|4,boilWater,boilWater-2,T4,C2,T4xC2,C,C,0.9555628941191735,0.13310592801606003,0.86689407198394,1,available,0,hard
qwen3.5:9b,boilWater-2|T4|C2|5,boilWater,boilWater-2,T4,C2,T4xC2,B,B,0.4239478916961886,0.7891617480327701,0.21083825196722994,1,available,2,medium
