task,episode,stage,elapsed_s
boilWater,boilWater-1,loading data,0.0
boilWater,boilWater-1,sound detection,1.986
boilWater,boilWater-1,scene graphs,5.27
boilWater,boilWater-1,summaries,5.617
boilWater,boilWater-1,reasoning (LLM),5.617
boilWater,boilWater-1,replan+correction (sim-grounded),5.619
boilWater,boilWater-1,done,80.922
boilWater,boilWater-10,loading data,0.0
boilWater,boilWater-10,sound detection,0.472
boilWater,boilWater-10,scene graphs,0.596
boilWater,boilWater-10,summaries,0.77
boilWater,boilWater-10,reasoning (LLM),0.771
boilWater,boilWater-10,replan+correction (sim-grounded),3.822
boilWater,boilWater-10,done,63.406
boilWater,boilWater-2,loading data,0.0
boilWater,boilWater-2,sound detection,0.475
boilWater,boilWater-2,scene graphs,0.594
boilWater,boilWater-2,summaries,0.864
boilWater,boilWater-2,reasoning (LLM),0.865
boilWater,boilWater-2,replan+correction (sim-grounded),4.253
boilWater,boilWater-2,done,16.501
boilWater,boilWater-3,loading data,0.0
boilWater,boilWater-3,sound detection,0.183
boilWater,boilWater-3,scene graphs,0.308
boilWater,boilWater-3,summaries,0.511
boilWater,boilWater-3,reasoning (LLM),0.512
boilWater,boilWater-3,replan+correction (sim-grounded),3.348
boilWater,boilWater-3,done,15.532
boilWater,boilWater-4,loading data,0.0
boilWater,boilWater-4,sound detection,0.175
boilWater,boilWater-4,scene graphs,0.29
boilWater,boilWater-4,summaries,0.543
boilWater,boilWater-4,reasoning (LLM),0.544
boilWater,boilWater-4,replan+correction (sim-grounded),0.546
boilWater,boilWater-4,done,66.347
boilWater,boilWater-5,loading data,0.0
boilWater,boilWater-5,sound detection,0.413
boilWater,boilWater-5,scene graphs,0.538
boilWater,boilWater-5,summaries,1.115
boilWater,boilWater-5,reasoning (LLM),1.116
boilWater,boilWater-5,replan+correction (sim-grounded),1.119
boilWater,boilWater-5,done,69.457
boilWater,boilWater-6,loading data,0.0
boilWater,boilWater-6,sound detection,0.167
boilWater,boilWater-6,scene graphs,0.279
boilWater,boilWater-6,summaries,0.459
boilWater,boilWater-6,reasoning (LLM),0.46
