task,episode,step_index,candidates_json,selected_index,selected_label,selected_action,confidence,entropy,score_status
boilWater,boilWater-1,0,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null, ""rationale"": ""The pot is currently on CounterTop-3 and must be grasped before it can be moved to a burner.""}, {""action"": ""pick_up"", ""obj1"": ""Plate"", ""obj2"": null, ""rationale"": ""Grasping the plate is a valid available action, though it does not directly advance boiling water.""}, {""action"": ""pick_up"", ""obj1"": ""Kettle"", ""obj2"": null, ""rationale"": ""Picking up the kettle is possible, but it is less relevant than recovering the pot for the boiling task.""}, {""action"": ""pick_up"", ""obj1"": ""Pan"", ""obj2"": null, ""rationale"": ""Picking up the pan is another feasible action, though it does not help achieve the stated success state.""}, {""action"": ""pick_up"", ""obj1"": ""Cup"", ""obj2"": null, ""rationale"": ""The cup can be picked up as a valid next action, but it is not useful for completing the boiling-water goal.""}]",0,A,"{'action': 'pick_up', 'obj1': 'Pot', 'obj2': None}",0.9999999999990001,1.8649853634676068e-11,available
boilWater,boilWater-1,1,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null, ""rationale"": ""The pot is on CounterTop-3 and the gripper is empty, so re-grasping it is the most direct correction toward placing it on a burner.""}, {""action"": ""put_in"", ""obj1"": ""Plate"", ""obj2"": ""Pot"", ""rationale"": ""If the robot first picks up the plate, placing it into the pot is a valid available action that keeps interaction focused on the main task object.""}, {""action"": ""put_in"", ""obj1"": ""Cup"", ""obj2"": ""Pot"", ""rationale"": ""Adding an item to the pot is a valid recoverable manipulation involving the pot, though it does not directly advance boiling.""}, {""action"": ""put_in"", ""obj1"": ""Bottle"", ""obj2"": ""Pot"", ""rationale"": ""This is another valid available action centered on the pot and could be executed after acquiring the bottle.""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4"", ""rationale"": ""From the generated correction plan.""}]",0,A,"{'action': 'put_on', 'obj1': 'Pot', 'obj2': 'StoveBurner-4'}",0.999996000008,3.6821503488501385e-05,available
boilWater,boilWater-10,0,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null, ""rationale"": ""To correct the failure, the robot should first grasp the empty pot so it can be moved to the sink and filled.""}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Plate"", ""rationale"": ""This is an available action involving the pot, though it does not help achieve boiling water and would move the pot away from the burner.""}, {""action"": ""put_in"", ""obj1"": ""Plate"", ""obj2"": ""Pot"", ""rationale"": ""This is a valid available action, but it is irrelevant to filling the pot with water and boiling it.""}, {""action"": ""put_in"", ""obj1"": ""Cup"", ""obj2"": ""Pot"", ""rationale"": ""This available action uses the pot as a container, but it does not address the missing water needed for the task goal.""}, {""action"": ""put_in"", ""obj1"": ""Bottle"", ""obj2"": ""Pot"", ""rationale"": ""Placing a bottle into the pot is possible per the action list, but it is not useful for satisfying the goal of boiling water.""}]",0,A,"{'action': 'pick_up', 'obj1': 'Pot', 'obj2': None}",0.9999999999989999,1.8650722720049047e-11,available
boilWater,boilWater-10,1,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null, ""rationale"": ""The pot is empty and needs to be repositioned so it can be filled with water.""}, {""action"": ""put_in"", ""obj1"": ""Plate"", ""obj2"": ""Pot"", ""rationale"": ""This is an available action involving the pot, though it does not help achieve boiling water.""}, {""action"": ""put_in"", ""obj1"": ""Bottle"", ""obj2"": ""Pot"", ""rationale"": ""Adding contents to the pot is possible with available actions, but this would not satisfy the need for water from the faucet.""}, {""action"": ""put_in"", ""obj1"": ""Cup"", ""obj2"": ""Pot"", ""rationale"": ""This is a valid available action using the pot, though it is not the correct way to fill the pot for the task.""}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink"", ""rationale"": ""From the generated correction plan.""}]",4,E,"{'action': 'put_in', 'obj1': 'Pot', 'obj2': 'Sink'}",0.9999999999990001,1.8649662155418523e-11,available
boilWater,boilWater-10,2,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null, ""rationale"": ""The pot is currently on the burner; picking it up is needed before moving it back to the sink to fill it with water.""}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Plate"", ""rationale"": ""This is an available action involving the pot, though it does not help achieve boiling water and would be a poor correction.""}, {""action"": ""put_in"", ""obj1"": ""Plate"", ""obj2"": ""Pot"", ""rationale"": ""This is available and distinct, but adding a plate into the pot does not address the missing water.""}, {""action"": ""pick_up"", ""obj1"": ""Plate"", ""obj2"": null, ""rationale"": ""This is a valid available action, but it is unrelated to correcting the empty pot problem.""}, {""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null, ""rationale"": ""From the generated correction plan.""}]",0,A,"{'action': 'toggle_on', 'obj1': 'Faucet', 'obj2': None}",0.9999470014044752,0.00040278224182127944,available
boilWater,boilWater-10,3,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null, ""rationale"": ""To correct the failed plan, first grasp the pot so it can be moved back to the sink for filling.""}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Plate"", ""rationale"": ""This is an available action involving the pot, though it does not help achieve boiling water and would be a poor correction.""}, {""action"": ""put_in"", ""obj1"": ""Plate"", ""obj2"": ""Pot"", ""rationale"": ""This is available and distinct, but it would only place the plate into the pot rather than helping fill the pot with water.""}, {""action"": ""put_in"", ""obj1"": ""Bottle"", ""obj2"": ""Pot"", ""rationale"": ""Adding a bottle to the pot is possible per available actions, but it is irrelevant to the goal and not a good corrective step.""}, {""action"": ""toggle_off"", ""obj1"": ""Faucet"", ""obj2"": null, ""rationale"": ""From the generated correction plan.""}]",0,A,"{'action': 'toggle_off', 'obj1': 'Faucet', 'obj2': None}",0.9999999999990001,1.8649853634676068e-11,available
boilWater,boilWater-10,4,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null, ""rationale"": ""The pot is currently on the burner; picking it up is a necessary first step to move it back to the sink for filling.""}, {""action"": ""toggle_on"", ""obj1"": ""Faucet"", ""obj2"": null, ""rationale"": ""Turning on the faucet is required for filling the pot once it is positioned in the sink.""}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Plate"", ""rationale"": ""This is an available action involving the pot, though it does not help achieve boiling water and would be a poor corrective choice.""}, {""action"": ""pick_up"", ""obj1"": ""Plate"", ""obj2"": null, ""rationale"": ""Picking up the plate is available but irrelevant to correcting the failure, since attention should stay on filling the pot.""}, {""action"": ""put_in"", ""obj1"": ""Bottle"", ""obj2"": ""Pot"", ""rationale"": ""This is a valid available action, but adding a bottle to the pot does not address the missing water needed for the goal.""}]",0,A,"{'action': 'pick_up', 'obj1': 'Pot', 'obj2': None}",0.9999999999990001,1.8649662155418523e-11,available
boilWater,boilWater-10,5,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null, ""rationale"": ""Picking up the pot is needed to move it off the burner and reposition it so it can be filled with water.""}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Plate"", ""rationale"": ""This is a valid available action involving the pot, though it does not help achieve boiling water and would be a poor correction.""}, {""action"": ""put_in"", ""obj1"": ""Cup"", ""obj2"": ""Pot"", ""rationale"": ""This is a valid available action, but adding a cup into the pot does not address the missing water needed for success.""}, {""action"": ""put_in"", ""obj1"": ""Bottle"", ""obj2"": ""Pot"", ""rationale"": ""This is a valid available action and could place an item into the pot, but it does not directly correct the empty-pot problem.""}, {""action"": ""put_on"", ""obj1"": ""Pot"", ""obj2"": ""StoveBurner-4"", ""rationale"": ""From the generated correction plan.""}]",0,A,"{'action': 'put_on', 'obj1': 'Pot', 'obj2': 'StoveBurner-4'}",0.9999999999990001,1.86501843763596e-11,available
boilWater,boilWater-4,0,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null, ""rationale"": ""The pot is the task-relevant object; picking it up is a plausible correction step before trying to refill it with water.""}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Plate"", ""rationale"": ""Uses valid objects/actions to relocate the pot, creating an alternative intermediate state if the current placement on the burner is problematic.""}, {""action"": ""pick_up"", ""obj1"": ""Plate"", ""obj2"": null, ""rationale"": ""Grasping the plate could enable repositioning or clearing space for subsequent corrective manipulation.""}, {""action"": ""put_in"", ""obj1"": ""Bottle"", ""obj2"": ""Pot"", ""rationale"": ""Since faucet toggling is unavailable, placing a bottle into the pot is a plausible alternative interaction involving the pot and liquid container.""}, {""action"": ""pick_up"", ""obj1"": ""Bottle"", ""obj2"": null, ""rationale"": ""Picking up the bottle could prepare for using it with the pot as part of a workaround after the faucet-related failure.""}]",0,A,"{'action': 'pick_up', 'obj1': 'Pot', 'obj2': None}",0.9770226300889974,0.06798062896329395,available
boilWater,boilWater-4,1,"[{""action"": ""pick_up"", ""obj1"": ""Pot"", ""obj2"": null, ""rationale"": ""Picking up the pot is a necessary recovery step since it is currently on the stove and must be repositioned before attempting to fill it with water.""}, {""action"": ""put_in"", ""obj1"": ""Plate"", ""obj2"": ""Pot"", ""rationale"": ""This is a valid available action involving the pot, though it does not directly help boiling water; it could be considered as an alternative manipulation step.""}, {""action"": ""put_in"", ""obj1"": ""Cup"", ""obj2"": ""Pot"", ""rationale"": ""Adding a container into the pot is a valid next action from the available set, though it is not aligned with the goal of filling the pot with water.""}, {""action"": ""put_in"", ""obj1"": ""Bottle"", ""obj2"": ""Pot"", ""rationale"": ""Placing the bottle into the pot is an available action and could be explored as an alternative interaction with the pot.""}, {""action"": ""put_in"", ""obj1"": ""Pot"", ""obj2"": ""Sink"", ""rationale"": ""From the generated correction plan.""}]",4,E,"{'action': 'put_in', 'obj1': 'Pot', 'obj2': 'Sink'}",0.9999999999989999,1.86505312330362e-11,available
