task,pred_failure_reason,gt_failure_reason,human_score
putAppleBowl1,"At 00:42, the robot failed to successfully grasp the apple, as evidenced by the empty gripper despite the intended action of picking it up. This failure prevented the robot from completing the task of placing the apple into the dark blue bowl.",Apple is placed on top of the bowl instead of inside the bowl due to the bowl being upside down.,0
putAppleBowl2,"At 01:16, the robot failed to place the apple inside the bowl because the apple remained in the gripper on top of the bowl rather than being released. This indicates that the robot's action to ""put apple inside bowl"" at 01:16 did not successfully execute the release mechanism, likely due to a control error or misalignment following the earlier drop incident at 01:03.",Apple was dropped from robot gripper when executing the action 'put apple in bowl'.,0
putAppleBowl3,"The robot failed because its visual perception became logically inconsistent, reporting that the apple, knife, and bowl were all simultaneously inside one another, which contradicts the physical reality required to pick up the apple and place it in the bowl. This severe sensor or reasoning error prevented the robot from correctly identifying the spatial relationships needed to execute the task.","The robot cannot put the apple inside the bowl because there's a knife on top of the bowl, blocking the space.",0
boilWater1,"At 01:14, the robot attempted to toggle on the faucet to fill the pot with water, but the action failed because the pot was not present in the sink or on the stove burner at that time. The failure was caused by the robot's inability to locate or access the pot, which had been placed in the sink at 00:49 and was no longer visible in the environment observations.",A bowl is put on top of the stove burner instead of a pot.,0
boilWater2,"At 00:25, the robot failed to boil water because the pot was empty and had been moved into the sink rather than being placed on an active stove burner. This indicates a failure in the task execution where the robot either could not locate water to fill the pot or incorrectly placed the empty pot away from the heat source.",The robot never toggled on and off the faucet to fill the pot with water.,0
boilWater3,"At 00:17, the robot failed to pick up the pot because its gripper was empty, indicating it could not grasp the object despite the task requiring it to handle the pot. This failure likely stemmed from an inability to correctly identify the pot's location or a malfunction in the grasping mechanism.","All stove burners are already occupied (by pan and red kettle), as a result, the pot cannot be put on stove burner.",0
boilWater4,"The robot failed because its visual observations contain contradictory and physically impossible states, such as the pot being simultaneously empty, inside the faucet, on top of multiple burners, and inside the sink all at once. This indicates a severe sensor malfunction or localization error that prevented the robot from correctly perceiving the pot's actual position on the stove to proceed with boiling water.",The robot accidentally dropped the pot when moving to stove burner.,0
cutCarrot1,"The robot failed to cut the carrot because, after picking up the knife, the carrot was already resting on top of the blade rather than being held securely in the gripper for a proper cutting action. This misalignment prevented the robot from executing the intended slicing maneuver.",The robot failed to slice the carrot because knife orientation is wrong.,1
cutCarrot2,"At 00:37, the robot failed to successfully pick up the knife because its gripper was empty, indicating it could not grasp the tool despite the presence of two knives and a sliced carrot in the scene. This suggests a failure in the robot's object detection or grasping mechanism, preventing it from acquiring the necessary tool to continue the cutting task.",The robot accidentally dropped one carrot slice to floor when slicing.,0
putPearDrawer1,"The robot failed to pick up the pear because its gripper is empty, indicating that the grasp action did not successfully acquire the object. This suggests a failure in the perception or execution of the ""Pick up pear"" command, preventing the robot from proceeding with the task of placing the pear in the drawer.",The robot never opened the drawer before trying to put pear in drawer.,0
