task,episode,gt_error_type,gt_failure_reason,pred_failure_reason,human_score
boilWater,boilWater-1,execution,Dropped Pot,"At 00:36, the robot dropped the water-filled pot while moving to the stove, as evidenced by the auditory observation of an object cracking and the subsequent visual reports of the pot being empty. Consequently, at 00:44, the robot failed to boil water because it attempted to place an empty pot on the burner after losing the water during the previous movement.",1
boilWater,boilWater-10,execution,"The robot put the pot in sink after the faucet was turned off, as a result, the pot was not filled with water.","The robot plan failed because it placed the pot on the fourth stove burner and turned it on, but it never filled the pot with water before doing so. Consequently, the pot remained empty, violating the success condition that requires the pot to be filled with water while sitting on an active burner.",1
boilWater,boilWater-3,planning,"An apple is inside the pot at the beginning of the task execution, and the robot never removed it from the pot.","The robot plan failed because it placed the pot on the fourth stove burner and turned on that specific burner, but the task requires the pot to be on a burner that is turned on while ensuring no foreign objects are present; the observation shows an apple is sitting on top of the pot and the burner, which violates the implicit safety and cleanliness constraints of the task. Additionally, the plan did not include any step to remove the apple before or after placing the pot on the stove.",1
boilWater,boilWater-2,planning,The robot cannot pick up the pot due to a bread occluding the pot.,"At 00:08, the robot failed to successfully pick up the pot because its gripper remained empty despite the action command, likely due to a misalignment between the gripper and the pot or a failure in the grasping mechanism. Consequently, the robot could not proceed with the task of boiling water as the pot was not secured.",0
boilWater,boilWater-6,execution,"The robot never executed the actions to toggle on and off the faucet, as a result, the pot was never filled with water.","The robot plan failed because it placed the pot on the fourth stove burner and turned on that specific burner, but it neglected to fill the pot with water from the sink before heating it. Consequently, the robot attempted to boil an empty pot, which does not satisfy the task requirement of having a pot filled with water.",1
boilWater,boilWater-7,execution,"The robot forgot to pick up the pot from sink, as a result, nothing was placed on the fourth stove burner.","At 00:41, the robot failed to boil the water because it placed the pot on the fourth stove burner while all four burners were still turned off, preventing the water from heating. The failure was caused by the robot's inability to activate the stove burner after positioning the pot.",0
boilWater,boilWater-4,execution,The robot failed to toggle on faucet.,"At 00:26, the robot attempted to turn on the faucet to fill the pot, but the action failed because the visual observation still indicated that the faucet was ""turned off."" This suggests the robot's control command did not successfully change the faucet's state, preventing the water from flowing and halting the boiling task.",1
boilWater,boilWater-5,planning,"The robot mis-identified pan as pot, and picked up the pan instead of the pot.","At 00:24, the robot successfully picked up the pot, but the failure occurred because the robot had not yet added water to the pot or turned on the stove burner, which are necessary steps to boil water. The sequence of actions shows the robot repeatedly moving to the pot without performing the required tasks of filling it with water or activating the heat source.",0
boilWater,boilWater-9,planning,The robot put the pot on the fourth stove burner but toggled on the second stove burner (instead of the fourth stove burner).,"The robot plan failed because it placed the pot on the fourth stove burner instead of the second one, which was the only burner turned on at the end of the task. Consequently, the water was not heated as required for the boiling task.",1
boilWater,boilWater-8,execution,The robot should use a pot instead of a bowl to boil water. The bowl cannot be put on the stove burner.,"At 00:54, the robot failed to place the bowl on the fourth stove burner because it remained holding the bowl in its gripper instead of releasing it. This failure occurred despite the robot successfully moving to the burner location, likely due to a control logic error preventing the execution of the ""put down"" action.",0
cookEgg,cookEgg-1,execution,Dropped Egg,"At 00:42, the robot failed to cook the egg because it dropped the egg onto the countertop instead of placing it in the pan or cracking it, likely due to the egg cracking prematurely while the robot was still holding it between 00:33 and 00:35. Consequently, the robot could not proceed with the cooking task as the egg was no longer intact or positioned correctly for frying.",1
cookEgg,cookEgg-2,planning,The robot failed to put the pan on the first stove burner because there was already a pot on it.,"At 00:58, the robot failed to place the pan on the stove burner because a pot was already occupying that specific burner. The failure was caused by the robot's inability to detect or avoid the existing pot, leading to a collision or an inability to execute the ""Put pan"" action as intended.",1
cookEgg,cookEgg-10,planning,The robot toggled on the fourth stove burner but put the pan on the first stove burner instead.,"At 01:00, the robot successfully placed the pan on the fourth stove burner, but the task failed because the robot never cracked or cooked the egg, which remained uncracked on the countertop throughout the entire sequence. The failure was caused by the robot's inability to transition from moving the pan to the next required step of handling the egg, likely due to a planning error or a missing action in its sequence.",0
cookEgg,cookEgg-3,planning,"A potato is inside the pan at the beginning of the task execution, and the robot never removed it from the pan.","At 00:33, the robot successfully turned on the stove burner, but the egg cracked immediately upon contact with the hot surface. This caused a failure because the egg was not sliced or pre-cracked before being placed on the burner, leading to an uncontrolled breakage instead of a proper cooking start.",0
