episode,timestamp_sec,action,scene_graph_text
appleInFridge1,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.
appleInFridge1,63,Put apple in bowl,apple. nothing is inside robot gripper.
appleInFridge1,145,Open fridge,"table, white bowl, apple, fridge (with door open). apple is inside white bowl. white bowl is inside fridge. apple is inside fridge. nothing is inside robot gripper."
appleInFridge1,177,Pick up bowl,"apple-1, fridge-1 (with door open), fridge-2 (with door open), table, apple-2. apple-1 is inside fridge-1. apple-1 is inside fridge-2. fridge-1 is inside fridge-2. apple-1 is inside apple-2. apple-2 is inside fridge-2. nothing is inside robot gripper."
appleInFridge1,248,Put bowl in fridge,"apple-1, table, fridge-1 (with door open), fridge-2 (with door open), white bowl, apple-2. apple-1 is inside fridge-1. apple-1 is inside fridge-2. fridge-2 is inside fridge-1. fridge-1 is on the right of fridge-2. apple-1 is inside white bowl. white bowl is inside fridge-1. fridge-1 is on the right of white bowl. apple-1 is inside apple-2. apple-2 is inside fridge-1. fridge-1 is on the right of apple-2. apple-2 is inside fridge-2. fridge-2 is inside apple-2. apple-2 is inside white bowl. nothing is inside robot gripper."
appleInFridge1,297,Close fridge,apple. nothing is inside robot gripper.
appleInFridge2,31,Pick up apple,"white bowl, apple, fridge (with door open). apple is on top of white bowl. white bowl is inside fridge. apple is inside fridge. white bowl is inside robot gripper. apple is inside robot gripper."
appleInFridge2,63,Put apple in bowl,apple. apple is inside robot gripper.
appleInFridge2,137,Open fridge,"table, fridge-1 (with door open), apple-1, white bowl, fridge-2 (with door open), apple-2. apple-1 is inside fridge-1. white bowl is inside fridge-1. fridge-1 is on the right of white bowl. apple-1 is inside white bowl. fridge-2 is inside fridge-1. fridge-1 is on the right of fridge-2. fridge-2 is on top of apple-1. apple-1 is inside fridge-2. apple-2 is inside fridge-1. fridge-1 is on the right of apple-2. apple-2 is on top of apple-1. apple-1 is inside apple-2. nothing is inside robot gripper."
appleInFridge2,176,Pick up bowl,"fridge-1 (with door open), table, apple, fridge-2 (with door open). fridge-1 is on top of table. apple is inside fridge-1. fridge-1 is inside apple. apple is on top of table. fridge-2 is on the left of fridge-1. fridge-1 is on top of fridge-2. fridge-2 is on the left of apple. apple is on top of fridge-2. nothing is inside robot gripper."
