model,qid,task,episode,rtype,regime,cell,answer,predicted,max_prob,norm_entropy,confidence,correct,score_status,solvability,difficulty,weight
qwen3.5:9b,boilWater-1|T2|C1|4,boilWater,boilWater-1,T2,C1,T2xC1,B,A,0.821969926716306,0.3570735217289699,0.6429264782710301,0,available,0,hard,0.5366013071895425
qwen3.5:9b,boilWater-1|T3|C1|0,boilWater,boilWater-1,T3,C1,T3xC1,C,B,0.3155881031008745,0.8794348331914573,0.12056516680854268,0,available,0,hard,0.5366013071895425
qwen3.5:9b,boilWater-1|T3|C2|0,boilWater,boilWater-1,T3,C2,T3xC2,A,E,0.6582218510670133,0.5931446593347083,0.4068553406652917,0,available,0,hard,0.5366013071895425
qwen3.5:9b,boilWater-1|T4|C2|5,boilWater,boilWater-1,T4,C2,T4xC2,E,E,0.419852577208775,0.8019035429810443,0.19809645701895573,1,available,1,hard,0.5749299719887955
qwen3.5:9b,boilWater-1|T4|C3|4,boilWater,boilWater-1,T4,C3,T4xC3,D,D,0.9259505869219266,0.2032630912670078,0.7967369087329922,1,available,0,hard,0.5366013071895425
qwen3.5:9b,boilWater-1|T4|C3|5,boilWater,boilWater-1,T4,C3,T4xC3,B,C,0.8043563434013415,0.4453659524677882,0.5546340475322118,0,available,1,hard,0.5749299719887955
qwen3.5:9b,boilWater-10|T2|C1|1,boilWater,boilWater-10,T2,C1,T2xC1,C,D,0.5994428060160024,0.6469740722631954,0.35302592773680463,0,available,1,hard,0.5749299719887955
qwen3.5:9b,boilWater-10|T3|C1|0,boilWater,boilWater-10,T3,C1,T3xC1,A,D,0.7989753348405719,0.4326932572982855,0.5673067427017144,0,available,2,medium,0.8096646942800789
qwen3.5:9b,boilWater-10|T3|C2|0,boilWater,boilWater-10,T3,C2,T3xC2,E,B,0.7944273463272712,0.45734543097506536,0.5426545690249347,0,available,2,medium,0.8096646942800789
qwen3.5:9b,boilWater-10|T4|C2|3,boilWater,boilWater-10,T4,C2,T4xC2,E,E,0.8482901893015122,0.3346684205824842,0.6653315794175159,1,available,1,hard,0.5749299719887955
