task,episode,status,artifact_mode,replay_available,sim_grounded,coplan_success,num_steps,pred_failure_step,gt_failure_step,pred_failure_reason,gt_failure_reason,error_type,gt_error_type
boilWater,boilWater-1,ok,full,True,True,True,6,['00:36'],00:36,"Root cause: at 00:36, right after picking up the water-filled pot, the robot appears to have lost or set down the pot during the move toward the stove—the observation suddenly shows the pot back on the countertop, empty, and the gripper empty. The failure at 00:44 happened because the robot then tried to place a pot on the burner even though it was no longer carrying it.",Dropped Pot,execution,execution
boilWater,boilWater-10,ok,full,True,True,True,5,['00:25'],"['00:25', '00:26', '00:27', '00:28', '00:29', '00:30', '00:31']","The plan turned the faucet on and off before placing the pot in the sink, so the pot was never actually filled with water. As a result, even though the pot ended up on a burner that was on, it was still empty, so the goal was not achieved.","The robot put the pot in sink after the faucet was turned off, as a result, the pot was not filled with water.",planning,execution
boilWater,boilWater-2,ok,full,True,True,False,0,['00:18'],00:08,"Nothing was wrong with the plan. The final state shows the pot is filled with water, placed on the fourth stove burner, and that burner is turned on, which exactly satisfies the goal for boiling water.",The robot cannot pick up the pot due to a bread occluding the pot.,planning,planning
boilWater,boilWater-3,ok,full,True,True,True,0,['00:18'],00:18,"Nothing was wrong with the plan: it filled the pot with water, placed it on the fourth stove burner, and turned that burner on, which satisfies the goal. So the robot did not actually fail based on the stated success condition.","An apple is inside the pot at the beginning of the task execution, and the robot never removed it from the pot.",planning,planning
boilWater,boilWater-4,ok,full,True,True,True,6,['00:26'],00:26,"The failure is that at 00:26 the robot tried to turn on the faucet, but the faucet was still off afterward, so the water was never started. The root cause is at 00:26 itself, when the **Toggle on faucet** action failed to change the faucet state.",The robot failed to toggle on faucet.,execution,execution
boilWater,boilWater-5,ok,full,True,True,False,6,['00:24'],00:24,"The failure was caused by misidentifying the target object: when attempting to pick up the pot, the robot picked up a pan instead. The earliest step where things first went wrong is **00:24**, because all earlier observations correctly located the pot and there is no prior evidence of an error before the mistaken grasp.","The robot mis-identified pan as pot, and picked up the pan instead of the pot.",execution,planning
boilWater,boilWater-6,ok,full,True,True,True,5,['00:28'],"['00:25', '00:26', '00:27', '00:28']","The plan never included filling the pot with water. Although the pot ended up on a turned-on burner, it was still empty, so the goal condition for boiling water was not satisfied.","The robot never executed the actions to toggle on and off the faucet, as a result, the pot was never filled with water.",planning,execution
boilWater,boilWater-7,ok,full,True,True,True,2,['00:39'],"['00:31', '00:32', '00:33', '00:34', '00:35', '00:36', '00:37', '00:38', '00:39', '00:40', '00:41']","Root cause: at **00:39**, the robot moved to the stove **without first picking the water-filled pot back up from the sink**. The failure only became visible at 00:41 when it tried to put a pot on the burner while its gripper was empty, meaning the pot was still left in the sink.","The robot forgot to pick up the pot from sink, as a result, nothing was placed on the fourth stove burner.",execution,execution
boilWater,boilWater-8,ok,full,True,True,False,10,['00:36'],00:20,"The failure was caused by the bowl never being filled with water: the robot turned the faucet on at 00:36 and then off at 00:39 without any observation that water entered the bowl, so it proceeded with an empty bowl. The root cause is **00:36**, when the water-filling step began incorrectly/incompletely, leading to the later failed placement/boiling attempt.",The robot should use a pot instead of a bowl to boil water. The bowl cannot be put on the stove burner.,execution,execution
boilWater,boilWater-9,ok,full,True,True,True,1,['00:49'],"['00:46', '00:47', '00:48', '00:49']","The plan turned on the wrong stove burner after placing the pot. At the end, the pot was on the fourth burner, but only the second burner was on, so the pot of water was not on an active burner.",The robot put the pot on the fourth stove burner but toggled on the second stove burner (instead of the fourth stove burner).,planning,planning
