episode,task,r_gt_error_type,r_error_type,Loc,Exp,r_gt_failure_reason,r_pred_failure_reason,r_gt_failure_step,r_pred_failure_step,rp_task_plan,rp_llm_plan,gt_plan,taxonomy_code,notes
boilWater-2,boilWater,planning,execution,True,False,The robot cannot pick up the pot due to a bread occluding the pot.,"At 00:08, the robot attempted to pick up the pot, but the observation still shows the pot on the countertop and nothing in the gripper, so the grasp failed. The failure was likely caused by an unsuccessful or misaligned grasp on the pot.",00:08,['00:08'],"['(navigate_to_obj, Pot)', '(pick_up, Pot)', '(navigate_to_obj, Sink)', '(put_in, Pot, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Pot)', '(navigate_to_obj, StoveBurner-4)', '(put_on, Pot, StoveBurner-4)', '(toggle_on, StoveBurner-4)']","[{'action': 'pick_up', 'obj1': 'Pot', 'obj2': None}, {'action': 'put_in', 'obj1': 'Pot', 'obj2': 'Sink'}, {'action': 'toggle_on', 'obj1': 'Faucet', 'obj2': None}, {'action': 'toggle_off', 'obj1': 'Faucet', 'obj2': None}, {'action': 'pour', 'obj1': 'Pot', 'obj2': 'Sink'}, {'action': 'pick_up', 'obj1': 'Pot', 'obj2': None}, {'action': 'put_on', 'obj1': 'Pot', 'obj2': 'StoveBurner-4'}]","['(navigate_to_obj, Pot)', '(pick_up, Pot)', '(navigate_to_obj, Sink)', '(put_in, Pot, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Pot)', '(navigate_to_obj, StoveBurner-4)', '(put_on, Pot, StoveBurner-4)', '(toggle_on, StoveBurner-4)']",CTX-HIDDEN,
boilWater-5,boilWater,planning,execution,True,True,"The robot mis-identified pan as pot, and picked up the pan instead of the pot.","At 00:24, the robot attempted to pick up the pot, but the observation shows a pan ended up in the gripper instead. This failure was likely caused by misidentifying or confusing the pot with a nearby pan after repeatedly moving around the pot area between 00:17 and 00:21.",00:24,"['00:24', '00:17', '00:21']","['(navigate_to_obj, Pot)', '(pick_up, Pot)', '(navigate_to_obj, Sink)', '(put_in, Pot, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Pot)', '(navigate_to_obj, StoveBurner-4)', '(put_on, Pot, StoveBurner-4)', '(toggle_on, StoveBurner-4)']","[{'action': 'pick_up', 'obj1': 'Pot', 'obj2': None}, {'action': 'put_in', 'obj1': 'Pot', 'obj2': 'Sink'}, {'action': 'toggle_on', 'obj1': 'Faucet', 'obj2': None}, {'action': 'toggle_off', 'obj1': 'Faucet', 'obj2': None}, {'action': 'pick_up', 'obj1': 'Pot', 'obj2': None}, {'action': 'put_on', 'obj1': 'Pot', 'obj2': 'StoveBurner-4'}]","['(navigate_to_obj, Pot)', '(pick_up, Pot)', '(navigate_to_obj, Sink)', '(put_in, Pot, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Pot)', '(navigate_to_obj, StoveBurner-4)', '(put_on, Pot, StoveBurner-4)', '(toggle_on, StoveBurner-4)']",RSN-PLAN,
boilWater-6,boilWater,execution,planning,True,True,"The robot never executed the actions to toggle on and off the faucet, as a result, the pot was never filled with water.","The plan never included filling the pot with water. Although the pot ended up on a burner that was turned on, the pot was still empty, so the goal condition for boiling water was not satisfied.","['00:25', '00:26', '00:27', '00:28']",['00:28'],"['(navigate_to_obj, Pot)', '(pick_up, Pot)', '(navigate_to_obj, Sink)', '(put_in, Pot, Sink)', '(pick_up, Pot)', '(navigate_to_obj, StoveBurner-4)', '(put_on, Pot, StoveBurner-4)', '(toggle_on, StoveBurner-4)']","[{'action': 'pick_up', 'obj1': 'Pot', 'obj2': None}, {'action': 'put_in', 'obj1': 'Pot', 'obj2': 'Sink'}, {'action': 'pour', 'obj1': 'Pot', 'obj2': 'Sink'}, {'action': 'pick_up', 'obj1': 'Pot', 'obj2': None}, {'action': 'put_on', 'obj1': 'Pot', 'obj2': 'StoveBurner-4'}]","['(navigate_to_obj, Pot)', '(pick_up, Pot)', '(navigate_to_obj, Sink)', '(put_in, Pot, Sink)', '(pick_up, Pot)', '(navigate_to_obj, StoveBurner-4)', '(put_on, Pot, StoveBurner-4)', '(toggle_on, StoveBurner-4)']",RSN-PLAN,
boilWater-8,boilWater,execution,execution,False,False,The robot should use a pot instead of a bowl to boil water. The bowl cannot be put on the stove burner.,"At 00:54, the robot attempted to put the bowl on the fourth stove burner, but the bowl was still in the gripper afterward, so the placement failed. The likely cause is that the robot misaligned with the burner or did not execute the release properly after moving to the stove at 00:48–00:51.",00:20,"['00:54', '00:48–00:51']","['(navigate_to_obj, Bowl)', '(pick_up, Bowl)', '(navigate_to_obj, Sink)', '(put_in, Bowl, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Bowl)', '(navigate_to_obj, StoveBurner-4)', '(put_on, Bowl, StoveBurner-4)', '(toggle_on, StoveBurner-4)']","[{'action': 'put_on', 'obj1': 'Bowl', 'obj2': 'StoveBurner-4'}]","['(navigate_to_obj, Bowl)', '(pick_up, Bowl)', '(navigate_to_obj, Sink)', '(put_in, Bowl, Sink)', '(toggle_on, Faucet)', '(toggle_off, Faucet)', '(pick_up, Bowl)', '(navigate_to_obj, StoveBurner-4)', '(put_on, Bowl, StoveBurner-4)', '(toggle_on, StoveBurner-4)']",CTX-AFFORD,
cookEgg-1,cookEgg,execution,execution,False,True,Dropped Egg,"At 00:42, the robot attempted to put the egg on the countertop, but it had already lost the egg earlier—likely when the egg cracked at 00:33 and the gripper became empty by 00:35. The failure was caused by mishandling the egg near the stove, so there was no egg left to place or cook.",00:35,"['00:42', '00:33', '00:35']","['(navigate_to_obj, Fridge)', '(open_obj, Fridge)', '(pick_up, Egg)', '(close_obj, Fridge)', '(navigate_to_obj, StoveBurner-1)', '(toggle_on, StoveBurner-1)', '(navigate_to_obj, Pan)', '(put_on, Egg, CounterTop)', '(pick_up, Pan)', '(navigate_to_obj, StoveBurner-1)', '(put_on, Pan, StoveBurner-1)', '(navigate_to_obj, Egg)', '(pick_up, Egg)', '(navigate_to_obj, Pan)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']","[{'action': 'open_obj', 'obj1': 'Fridge', 'obj2': None}, {'action': 'pick_up', 'obj1': 'Egg', 'obj2': None}, {'action': 'close_obj', 'obj1': 'Fridge', 'obj2': None}, {'action': 'crack_obj', 'obj1': 'Egg', 'obj2': None}, {'action': 'put_in', 'obj1': 'Egg', 'obj2': 'Pan'}]","['(navigate_to_obj, Fridge)', '(open_obj, Fridge)', '(pick_up, Egg)', '(close_obj, Fridge)', '(navigate_to_obj, StoveBurner-1)', '(toggle_on, StoveBurner-1)', '(navigate_to_obj, Pan)', '(put_on, Egg, CounterTop)', '(pick_up, Pan)', '(navigate_to_obj, StoveBurner-1)', '(put_on, Pan, StoveBurner-1)', '(navigate_to_obj, Egg)', '(pick_up, Egg)', '(navigate_to_obj, Pan)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']",CTX-AFFORD,
cookEgg-2,cookEgg,planning,execution,False,True,The robot failed to put the pan on the first stove burner because there was already a pot on it.,"At 00:58, the robot failed to place the pan on the first stove burner because that burner was already occupied by a pot, as seen from 00:35 and again at 00:52–00:58. The task had already gone off track earlier when the robot put the egg down on the countertop at 00:44 instead of cracking it into cookware, so it was trying to use the wrong burner setup with the egg not being cooked.",00:58,"['00:35', '00:44', '00:52–00:58', '00:58']","['(navigate_to_obj, Fridge)', '(open_obj, Fridge)', '(pick_up, Egg)', '(close_obj, Fridge)', '(navigate_to_obj, StoveBurner-1)', '(toggle_on, StoveBurner-1)', '(navigate_to_obj, Pan)', '(put_on, Egg, CounterTop)', '(pick_up, Pan)', '(navigate_to_obj, StoveBurner-1)', '(put_on, Pan, StoveBurner-1)', '(navigate_to_obj, Egg)', '(pick_up, Egg)', '(navigate_to_obj, Pan)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']","[{'action': 'put_on', 'obj1': 'Pan', 'obj2': 'StoveBurner-3'}, {'action': 'toggle_on', 'obj1': 'StoveBurner-3', 'obj2': None}, {'action': 'pick_up', 'obj1': 'Egg', 'obj2': None}, {'action': 'crack_obj', 'obj1': 'Egg', 'obj2': None}, {'action': 'put_in', 'obj1': 'Egg', 'obj2': 'Pan'}]","['(navigate_to_obj, Fridge)', '(open_obj, Fridge)', '(pick_up, Egg)', '(close_obj, Fridge)', '(navigate_to_obj, StoveBurner-1)', '(toggle_on, StoveBurner-1)', '(navigate_to_obj, Pan)', '(put_on, Egg, CounterTop)', '(pick_up, Pan)', '(navigate_to_obj, StoveBurner-1)', '(put_on, Pan, StoveBurner-1)', '(navigate_to_obj, Egg)', '(pick_up, Egg)', '(navigate_to_obj, Pan)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']",CTX-AFFORD,
cookEgg-8,cookEgg,execution,execution,False,False,"The pan is dirty at the beginning of the task execution, and the robot never cleaned the pan.","At 01:22, the robot cracked the egg while still holding it, and the observation shows the cracked egg remained in the gripper instead of being released into the pan. The failure was caused by poor positioning/alignment with the pan—despite moving toward it at 01:16–01:21, the pan is observed above the egg, suggesting the egg was cracked outside or below the pan, likely onto a hard surface.","['00:47', '00:48', '00:49', '00:50', '00:51', '00:52', '00:53', '00:54', '00:55', '00:56', '00:57', '00:58', '00:59', '01:00']","['01:22', '01:16–01:21']","['(navigate_to_obj, Fridge)', '(open_obj, Fridge)', '(pick_up, Egg)', '(close_obj, Fridge)', '(navigate_to_obj, StoveBurner-1)', '(toggle_on, StoveBurner-1)', '(navigate_to_obj, Pan)', '(put_on, Egg, CounterTop)', '(pick_up, Pan)', '(navigate_to_obj, StoveBurner-1)', '(put_on, Pan, StoveBurner-1)', '(navigate_to_obj, Egg)', '(pick_up, Egg)', '(navigate_to_obj, Pan)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']","[{'action': 'pick_up', 'obj1': 'EggCracked', 'obj2': None}, {'action': 'put_in', 'obj1': 'EggCracked', 'obj2': 'Pan'}]","['(navigate_to_obj, Fridge)', '(open_obj, Fridge)', '(pick_up, Egg)', '(close_obj, Fridge)', '(navigate_to_obj, StoveBurner-1)', '(toggle_on, StoveBurner-1)', '(navigate_to_obj, Pan)', '(put_on, Egg, CounterTop)', '(pick_up, Pan)', '(navigate_to_obj, StoveBurner-1)', '(put_on, Pan, StoveBurner-1)', '(navigate_to_obj, Egg)', '(pick_up, Egg)', '(navigate_to_obj, Pan)', '(crack_obj, Egg)', '(put_in, EggCracked, Pan)']",CTX-AFFORD,
heatPotato-1,heatPotato,execution,execution,True,True,Dropped Plate,"The failure at 01:10 happened because the robot had already dropped the plate and potato while moving to the microwave around 00:44, as indicated by the “object drops or cracks on hard surface” audio and the later observations showing both items on the floor/away from the gripper at 00:46–00:56. So at 01:10, it tried to put the plate on the countertop with an empty gripper, meaning it had lost the potato and plate earlier and could no longer heat the potato.",00:44,"['00:44', '00:46–00:56', '01:10']","['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_on, Plate, CounterTop)', '(open_obj, Microwave)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']","[{'action': 'toggle_off', 'obj1': 'Microwave', 'obj2': None}, {'action': 'pick_up', 'obj1': 'Potato', 'obj2': None}, {'action': 'put_in', 'obj1': 'Potato', 'obj2': 'Plate'}, {'action': 'pick_up', 'obj1': 'Plate', 'obj2': None}, {'action': 'open_obj', 'obj1': 'Microwave', 'obj2': None}, {'action': 'put_in', 'obj1': 'Plate', 'obj2': 'Microwave'}, {'action': 'close_obj', 'obj1': 'Microwave', 'obj2': None}, {'action': 'toggle_on', 'obj1': 'Microwave', 'obj2': None}]","['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_on, Plate, CounterTop)', '(open_obj, Microwave)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']",RSN-PLAN,
heatPotato-2,heatPotato,planning,execution,False,True,"A bowl is already inside the microwave, as a result, the plate cannot be put inside the microwave due to limited space.","At 01:55, the robot failed to place the plate with the potato into the microwave because the microwave was already occupied by a bowl that was visible after opening it at 01:31. The failure was caused by not clearing the bowl first, so even after returning with the plate at 01:52, the plate remained in the gripper instead of being inserted.",01:55,"['01:31', '01:52', '01:55']","['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_on, Plate, CounterTop)', '(open_obj, Microwave)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']","[{'action': 'toggle_off', 'obj1': 'Microwave', 'obj2': None}, {'action': 'open_obj', 'obj1': 'Microwave', 'obj2': None}, {'action': 'pick_up', 'obj1': 'Bowl', 'obj2': None}, {'action': 'put_on', 'obj1': 'Bowl', 'obj2': 'CounterTop'}, {'action': 'pick_up', 'obj1': 'Plate', 'obj2': None}, {'action': 'put_in', 'obj1': 'Plate', 'obj2': 'Microwave'}, {'action': 'close_obj', 'obj1': 'Microwave', 'obj2': None}, {'action': 'toggle_on', 'obj1': 'Microwave', 'obj2': None}]","['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_on, Plate, CounterTop)', '(open_obj, Microwave)', '(pick_up, Plate)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']",RSN-PLAN,
heatPotato-4,heatPotato,execution,execution,False,True,The robot failed to open the microwave.,"At 01:07, the robot failed to open the microwave—the observation still shows it as “closed and turned off” after the open action. The likely cause is that earlier, by 00:39, the robot had left the potato on the plate on the dining table and moved to the microwave empty-handed, so it was not properly progressing toward heating the potato.",01:07,"['00:39', '01:07']","['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Plate)', '(navigate_to_obj, Microwave)', '(open_obj, Microwave)', '(navigate_to_obj, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']","[{'action': 'open_obj', 'obj1': 'Microwave', 'obj2': None}, {'action': 'put_in', 'obj1': 'Plate', 'obj2': 'Microwave'}]","['(navigate_to_obj, Potato)', '(pick_up, Potato)', '(put_on, Potato, Plate)', '(navigate_to_obj, Microwave)', '(open_obj, Microwave)', '(navigate_to_obj, Plate)', '(pick_up, Plate)', '(navigate_to_obj, Microwave)', '(put_in, Plate, Microwave)', '(close_obj, Microwave)', '(toggle_on, Microwave)']",CTX-AFFORD,
