episode,sample_second,source_timestamp_sec,action,scene_graph_text,raw_l1_line,source
appleInFridge1,0,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,"state_summary_L1 cache (all cached episodes, 1s sampling)"
appleInFridge1,1,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,"state_summary_L1 cache (all cached episodes, 1s sampling)"
appleInFridge1,2,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,"state_summary_L1 cache (all cached episodes, 1s sampling)"
appleInFridge1,3,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,"state_summary_L1 cache (all cached episodes, 1s sampling)"
appleInFridge1,4,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,"state_summary_L1 cache (all cached episodes, 1s sampling)"
appleInFridge1,5,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,"state_summary_L1 cache (all cached episodes, 1s sampling)"
appleInFridge1,6,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,"state_summary_L1 cache (all cached episodes, 1s sampling)"
appleInFridge1,7,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,"state_summary_L1 cache (all cached episodes, 1s sampling)"
appleInFridge1,8,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,"state_summary_L1 cache (all cached episodes, 1s sampling)"
appleInFridge1,9,27,Pick up apple,fridge (with door open). nothing is inside robot gripper.,00:27. Action: Pick up apple. Visual observation: fridge (with door open). nothing is inside robot gripper.,"state_summary_L1 cache (all cached episodes, 1s sampling)"
