task,episode,gt_error_type,gt_failure_reason,pred_failure_reason,human_score
switchDevices,switchDevices-8,execution,Dropped RemoteControl,"At 01:07, the robot failed to switch on the television as instructed. This failure was caused by the robot not having the remote control in its gripper at the time of the action, as observed in the final visual observation at 01:07. The robot had mistakenly dropped the remote control before reaching the television, as indicated by the observation at 01:00.",1
warmWater,warmWater-8,execution,Missing step to pour wine out of the mug,"The robot plan failed because it filled the mug with water from the faucet but did not empty the mug of wine before doing so. Additionally, the robot used a microwave to warm the water, which is not a safe or appropriate method.",1
waterPlant,waterPlant-8,execution,"Failed to successfully execute (toggle_on, Faucet)","At 00:26, the robot failed to turn on the faucet despite its action to do so. This could be due to a mechanical failure or a software error preventing the robot from interacting with the faucet correctly.",1
storeEgg,storeEgg-9,execution,"Failed to successfully execute (open_obj, Fridge)","The failure at 00:15 was caused by the robot's inability to open the fridge despite its action to do so, possibly due to a malfunction in its physical mechanism or a misinterpretation of the command. Additionally, the robot has not picked up the egg, which is also a necessary step for the task completion.",1
storeEgg,storeEgg-8,execution,Dropped Bowl,"The failure at 02:21 was caused by the robot attempting to put the bowl in the fridge when it was not holding the bowl. This could be due to the egg cracking at 02:11, which might have caused the robot to drop the bowl.",1
makeCoffee,makeCoffee-9,execution,"The robot plan should not use a bowl instead of a mug or cup to make coffee. As a result, the bowl cannot be put inside the coffee machine.",The failure at 00:50 occurred because the robot attempted to put a bowl into the coffee machine instead of a coffee cup or mug. The robot's incorrect identification of the bowl as the appropriate vessel for coffee caused the failure.,1
warmWater,warmWater-10,execution,"Failed to successfully execute (toggle_on, Faucet)","At 00:21, the robot attempted to turn on the faucet to fill the mug with water, but failed. The failure could be due to the robot not having the necessary capability to operate the faucet or a malfunction in its system preventing it from performing the action.",1
makeCoffee,makeCoffee-3,planning,"The robot failed to put the mug inside the coffee machine because there was already a cup inside it, occupying the space.",The failure at 00:48 was caused by the robot attempting to put the mug into the coffee machine while there was already a cup inside the machine. The robot should have removed the existing cup from the coffee machine before attempting to place the mug inside.,1
boilWater,boilWater-2,planning,The robot cannot pick up the pot due to a bread occluding the pot.,"At 00:08, the robot failed to pick up the pot despite the action command, as indicated by the observation that nothing is inside the robot's gripper after the action. The failure could be due to a malfunction in the robot's gripping mechanism or a misinterpretation of the command.",0
switchDevices,switchDevices-6,planning,Book is blocking remote control,"The failure at 00:51 occurred when the robot attempted to pick up the remote control but was unsuccessful. The cause of the failure could be due to the remote control being positioned below a book, making it difficult for the robot to grip and lift it.",1
